職員ID,基本職務内容,重要ミッション,主要数値目標,目標値
1,事業所における運営管理の統括に関すること,相談支援事業の赤字（約61万円）解消を最優先事項とし、短期入所稼働率（25.5%）を40%台へ引き上げる戦略を指揮するとともに、人件費支出（約1.58億円）に見合う生産性の高い組織運営を統括し、拠点全体の次期繰越活動増減差額（約3.2億円）の健全な積み増しを実現する。,相談支援事業の赤字解消,約61万円
1,予算決算等の財務管理に関すること,,短期入所稼働率引き上げ,40%台
1,職員人事、給与、福利厚生に関すること,,,
1,事業所における保全、管理の統括に関すること,,,
1,事業所における事故防止、防災の統括に関すること,,,
1,各種規則、規定に関すること,,,
1,業務契約に関すること,,,
1,公印、利用者の印鑑の管理,,,
1,文書管理の統括に関すること,,,
1,支援全般の統括に関すること,,,
1,事業計画及び事業報告の統括に関すること,,,
1,地域における協力関係の統括に関すること,,,
1,人権擁護・虐待防止・身体拘束の統括に関すること,,,
1,個人情報保護に関すること,,,
1,苦情相談の統括に関すること,,,
1,関係諸機関との連絡調整の統括に関すること,,,
1,群馬県知的障害者福祉協会　施設長部会・支援施設部会【部会長】給食部会【助言者】人権倫理委員会【書記】,,,
1,法人運営委員として法人運営に関すること,,,
2,施設管理者の補佐をすること。,管理者の補佐として、生活介護（84.6%）および施設入所（90.5%）のフル稼働を目指す現場改善を推進し、介護給付費収入（約1.9億円）の安定確保と、前年比184.5%と高騰した修繕費支出の適切な抑制・管理を徹底する。,生活介護および施設入所のフル稼働,100%
2,管理者に事故があるとき又は欠けた時にその職務を代理すること,,介護給付費収入の安定確保,1.9億円
2,職員の人事・給与・福利厚生の補佐に関すること,,,
2,職員の休日・休暇及び服務に関すること,,,
2,各種管理台帳の管理に関すること,,,
2,公文書類の収受・配布・発送・管理に関すること,,,
2,業務契約の補佐に関すること,,,
2,施設や事業所の保全・管理に関すること,,,
2,防火管理者の補佐及び事故防止・防災に関すること,,,
2,関係機関との連絡調整補佐に管理に関すること,,,
2,介護・訓練等給付費の請求及び管理に関すること,,,
2,利用者支援の管理補佐に関すること,,,
2,赤城野荘障害者相談支援事業所に関すること,,,
2,委員会活動・係分担表・行事計画の業務に関すること,,,
2,法人運営委員として、法人運営に関すること,,,
2,地域交流に関すること,,,
2,社会福祉士・介護福祉士,,,
2,保護者会に関すること（計画立案及び保護者との連絡調整を行う）,,,
2,生活支援員・看護師の総括に関すること（管理者の命令を受け、支援員や看護師が個々の役割を遂行できる　ようグループリーダー等と連携し利用者支援部門を統括する）,,,
2,サービス管理責任者の業務に関すること,,,
2,利用者支援全般に関すること,,,
2,年間支援計画作成に関すること,,,
2,個別支援計画に関すること　（サービス管理責任者として個別支援計画の作成と指導、個別支援計画の作成に係る会議の企画・運営等、関係者や関係機関との連携),,,
2,日中支援・余暇支援・外出支援を支援の３本柱として力を入れ、利用者の日中生活を充実させること,,,
2,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
2,個人情報保護に関すること（個人情報の保護に関して周知徹底する）,,,
2,苦情相談に関すること（苦情受付担当者として、苦情があった場合は管理者・副管理者に 報告し速やかに苦情解決に努める）,,,
2,関係諸機関との連絡調整に関すること,,,
2,委員会活動・係分担表・行事計画の業務に関すること（進捗状況を把握しながら各委員会・係・行事計画担当者と連携しスムーズに業務が遂行できるように努める）,,,
2,勤務表・週計画に関すること,,,
2,利用者の支援業務に関する各種書類に関すること（随時、パソコンのフォルダー整理、各種書類の整理、書式の改定を行う）,,,
2,職員会議・支援員会議開催に関すること,,,
2,サービス管理責任者,,,
2,群馬県知的障害者福祉協会　研修委員会【役員】に関すること,,,
3,施設管理者の補佐をすること。,"予算・決算の管理を通じ、特に前年比114.7%となった給食費や光熱水費等の事業費（約4,487万円）を精査し、事務消耗品費（前年比84.5%）の抑制を継続しながら、未収金の発生を防ぐ正確な給付費請求と流動資産（約2億円）の適正管理を完遂する。",事務消耗品費の抑制,84.50%
3,管理者に事故があるとき又は欠けた時にその職務を代理すること,,正確な給付費請求と流動資産の適正管理,約2億円
3,経理・庶務に関すること,,,
3,予算・決算の財務管理の補佐に関すること,,,
3,金銭出納に関すること,,,
3,物品購入に関すること,,,
3,寄付金の手続き、事務に関すること,,,
3,職員の人事・給与・福利厚生の補佐に関すること,,,
3,職員の休日・休暇及び服務に関すること,,,
3,各種管理台帳の管理に関すること,,,
3,公文書類の収受・配布・発送・管理に関すること,,,
3,業務契約の補佐に関すること,,,
3,施設や事業所の保全・管理に関すること,,,
3,関係機関との連絡調整補佐に管理に関すること,,,
3,介護・訓練等給付費の請求及び管理に関すること,,,
3,赤城野荘障害者相談支援事業所に関すること,,,
3,委員会活動・係分担表・行事計画の業務に関すること,,,
3,地域交流に関すること,,,
3,保護者会に関すること（計画立案及び保護者との連絡調整を行う）,,,
4,主任事務員の補佐をすること,主任事務員の補佐として、日々の金銭出納・物品購入においてコスト意識を徹底し、事業活動支出（約1.9億円）の効率化を図るとともに、公用車の厳格な管理を通じて車輌費（前年比64.1%）の低位安定を維持し、財務面から拠点経営を支える。,事業活動支出の効率化,約1.9億円
4,経理・庶務に関すること,,車輌費の低位安定を維持,前年比64.1%
4,予算・決算の財務管理の補佐に関すること,,,
4,金銭出納に関すること,,,
4,物品購入に関すること,,,
4,寄付金の手続き、事務に関すること,,,
4,職員の人事・給与・福利厚生の補佐に関すること,,,
4,職員の休日・休暇及び服務に関すること,,,
4,公文書類の収受・配布・発送・管理に関すること,,,
4,業務契約の補佐に関すること,,,
4,施設・事業所の保全・管理に関すること,,,
4,防火管理者の補佐及び事故防止・防災に関すること,,,
4,公用車の管理保全に関すること,,,
4,関係機関との連絡調整補佐に管理に関すること,,,
4,介護、訓練給付費の請求及び管理補佐に関すること。,,,
4,赤城野荘障害者相談支援事業所に関する事務的なこと,,,
4,委員会活動・係分担表・行事計画の業務に関すること,,,
4,群馬県知的障害者福祉協会　事務部会に関すること,,,
4,保護者会に関すること（計画立案及び保護者との連絡調整を行う）,,,
5,管理者・副管理者・サービス管理責任者の指示を受け看護師内の統一を図ること。,利用者の徹底した健康管理により重度化・欠員を防止して施設入所稼働率を維持し、口腔ケアや機能訓練の充実による高い支援品質の提供を通じて、見学者や短期入所希望者への訴求力を高め、短期入所（稼働率25.5%）の利用促進に寄与する。,短期入所の利用促進に寄与,25.50%
5,利用者の健康管理に関すること,,,
5,看護師の業務に関すること,,,
5,利用者・職員の健康診断に関すること,,,
5,医務日誌・関連ケース等の書類整備に関すること,,,
5,利用者の服薬等に関すること,,,
5,利用者の機能訓練に関すること,,,
5,利用者の口腔ケア摂食嚥下に関すること,,,
5,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
5,委員会活動・係分担表・行事計画の業務に関すること,,,
5,光明園の利用者、職員の健康診断に関すること,,,
5,嘱託医・協力医療機関・地域医療機関に関すること,,,
5,地域交流に関すること,,,
5,群馬県知的障害者福祉協会　保健部会に関すること,,,
5,第1種衛生管理責任者,,,
6,利用者の健康管理に関すること,医務日誌やケース記録を精緻に整備し、日々のバイタル管理と感染症対策を徹底することで、利用者の健康起因による退所を最小限に留め、医療費や保健衛生費（前年比108.5%）の効率的な運用と安定した稼働の継続に貢献する。,医療費や保健衛生費の効率的な運用と安定した稼働の継続に貢献,108.50%
6,看護師の業務に関すること,,,
6,利用者・職員の健康診断に関すること,,,
6,医務日誌・関連ケース等の書類整備に関すること,,,
6,利用者の服薬等に関すること,,,
6,利用者の機能訓練に関すること,,,
6,利用者の口腔ケア摂食嚥下に関すること,,,
6,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
6,委員会活動・係分担表・行事計画の業務に関すること,,,
6,光明園の利用者、職員の健康診断に関すること,,,
6,嘱託医・協力医療機関・地域医療機関に関すること,,,
6,地域交流に関すること,,,
6,群馬県知的障害者福祉協会　保健部会に関すること,,,
7,支援の総括に関すること（管理者の命令を受け、支援員が個々の役割を遂行できるようにサービス管理責任者、副主任と連携し支援員部門を統括する）,支援部門の統括として、生活介護および短期入所の空床状況を常に把握し、地域ニーズに即した柔軟な受け入れ態勢を構築することで、サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,2.2億円超
7,サービス管理責任者の補佐をすること,,,
7,利用者支援全般に関すること,,,
7,年間支援計画作成に関すること,,,
7,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
7,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
7,管理者・副管理者・サービス管理責任者の指示のもと、生活支援員の業務の調整、意見聴取等を行い支援員の統括を図ること,,,
7,日中支援・余暇支援・外出支援を利用者の日中生活を充実させる,,,
7,生活支援員への指導に関すること,,,
7,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
7,個人情報保護に関すること,,,
7,関係諸機関との連絡調整に関すること,,,
7,勤務表・週計画作成に関すること,,,
7,委員会活動・係分担・行事計画の業務に関すること（進捗状況を把握しながら、担当者がスムーズに業務遂行ができるようにサポートする）,,,
7,支援業務に関する各種書類の管理（随時、パソコンのフォルダー整理、各種書類の整理、書式の改定を行う）,,,
7,支援員全般の管理し、職員間の協力のもと業務を円滑に遂行する。,,,
7,職員会議、支援員会議開催に関すること(内容の計画や相談),,,
7,社会福祉士（社会福祉士実習指導者資格を目指すこと）・介護福祉士・相談支援専門員,,,
8,支援の総括に関すること（管理者の命令を受け、支援員が個々の役割を遂行できるようにサービス管理責任者と連携し支援員部門を統括する）,支援部門の統括として、生活介護および短期入所の空床状況を常に把握し、地域ニーズに即した柔軟な受け入れ態勢を構築することで、サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,2.2億円超
8,サービス管理責任者の補佐をすること,,,
8,利用者支援全般に関すること,,,
8,年間支援計画作成に関すること,,,
8,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
8,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
8,管理者・副管理者・サービス管理責任者の指示のもと、男子生活支援員の業務の調整、意見聴取等を行い男子支援員の統括を図ること,,,
8,日中支援・余暇支援・外出支援を利用者の日中生活を充実させる,,,
8,生活支援員への指導に関すること,,,
8,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
8,個人情報保護に関すること,,,
8,関係諸機関との連絡調整に関すること,,,
8,週計画作成に関すること,,,
8,委員会活動・係分担・行事計画の業務に関すること（進捗状況を把握しながら、担当者がスムーズに業務遂行ができるようにサポートする）.,,,
8,支援業務に関する各種書類の管理（随時、パソコンのフォルダー整理、各種書類の整理、書式の改定を行う）,,,
8,男子支援員全般の管理し、職員間の協力のもと業務を円滑に遂行する。,,,
8,職員会議、支援員会議開催に関すること(内容の計画や相談),,,
8,介護福祉士,,,
9,支援の総括に関すること（管理者の命令を受け、支援員が個々の役割を遂行できるようにサービス管理責任者と連携し支援員部門を統括する）,支援部門の統括として、生活介護および短期入所の空床状況を常に把握し、地域ニーズに即した柔軟な受け入れ態勢を構築することで、サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,サービス活動収益（目標2.2億円超）の最大化と、人件費率に見合う支援員全体のスキルアップを主導する。,2.2億円超
9,サービス管理責任者の補佐をすること,,,
9,利用者支援全般に関すること,,,
9,年間支援計画作成に関すること,,,
9,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
9,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
9,管理者・副管理者・サービス管理責任者の指示のもと、女子生活支援員の業務の調整、意見聴取等を行い女子支援員の統括を図ること,,,
9,日中支援・余暇支援・外出支援を利用者の日中生活を充実させる,,,
9,生活支援員への指導に関すること,,,
9,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
9,個人情報保護に関すること,,,
9,関係諸機関との連絡調整に関すること,,,
9,週計画作成に関すること,,,
9,委員会活動・係分担・行事計画の業務に関すること（進捗状況を把握しながら、担当者がスムーズに業務遂行ができるようにサポートする）.,,,
9,支援業務に関する各種書類の管理（随時、パソコンのフォルダー整理、各種書類の整理、書式の改定を行う）,,,
9,女子支援員全般の管理し、職員間の協力のもと業務を円滑に遂行する。,,,
9,職員会議、支援員会議開催に関すること(内容の計画や相談),,,
9,介護福祉士,,,
10,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,各担当グループの支援員を指導し、個別支援計画に基づいた質の高い日中活動を実践することで利用者の満足度を高め、正確なケース記録の維持により自立支援給付費収益を担保するとともに、職場環境の整備により離職を防ぎ人件費の安定化に寄与する。,,
10,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
